freqs,channel,p1,chi2
19.5312,7,0.8483,0.8631
19.5312,8,0.7774,0.8464
19.5312,9,0.0842,0.2746
19.5312,10,0.0867,0.242
19.5312,11,0.8716,1.181
19.5312,12,0.8249,0.9769
19.5312,13,0.087,0.2675
19.5312,14,0.0875,0.2376
19.5312,15,0.8276,0.9384
21.4844,0,0.7185,0.8958
21.4844,1,0.1599,0.6135
21.4844,2,0.7903,1.302
21.4844,3,0.7469,0.8664
21.4844,4,0.6981,0.7406
21.4844,5,0.3531,2.5568
21.4844,6,0.0899,0.1965
21.4844,7,0.7527,0.7952
21.4844,8,0.7002,0.839
21.4844,9,0.3246,2.6051
21.4844,10,0.3586,2.5471
21.4844,11,0.0895,0.163
21.4844,12,0.7035,0.927
21.4844,13,0.0875,0.25
21.4844,14,0.348,2.4981
21.4844,15,0.7453,0.8696
23.4375,0,0.7478,0.912
23.4375,1,0.3214,2.8061
23.4375,2,0.734,0.9679
23.4375,3,0.7577,0.8637
23.4375,4,0.7376,0.7821
23.4375,5,0.3945,2.2556
23.4375,6,0.8493,1.2464
23.4375,7,0.7786,0.776
23.4375,8,0.6677,0.772
23.4375,9,0.0883,0.2465
23.4375,10,0.0873,0.2331
23.4375,11,0.7103,0.9478
23.4375,12,0.6986,0.8434
23.4375,13,0.0888,0.2264
23.4375,14,0.0861,0.2688
23.4375,15,0.7141,0.8148
25.3906,0,0.7499,0.9901
25.3906,1,0.0863,0.2458
25.3906,2,0.7226,0.978
25.3906,3,0.7635,0.8786
25.3906,4,0.7564,0.8318
25.3906,5,0.4302,2.0677
25.3906,6,0.0904,0.1736
25.3906,7,0.7892,0.8569
25.3906,8,0.66,0.8326
25.3906,9,0.0877,0.2633
25.3906,10,0.0884,0.2679
25.3906,11,0.7445,1.0188
25.3906,12,0.704,0.9301
25.3906,13,0.09,0.2223
25.3906,14,0.0901,0.2269
25.3906,15,0.7443,0.8811
27.3438,0,0.0984,0.1804
27.3438,1,0.3065,3.0697
27.3438,2,0.6421,1.2386
27.3438,3,0.0941,0.158
27.3438,4,0.6389,0.8297
27.3438,5,0.0903,0.225
27.3438,6,0.7145,1.2234
27.3438,7,0.672,0.8709
27.3438,8,0.5943,0.8622
27.3438,9,0.0948,0.3218
27.3438,10,0.0917,0.3225
27.3438,11,0.6148,1.0371
27.3438,12,0.6021,0.8676
27.3438,13,0.093,0.2487
27.3438,14,0.7322,1.9212
27.3438,15,0.6215,0.8644
29.2969,0,0.528,1.0786
29.2969,1,0.0863,0.4394
29.2969,2,0.5626,1.2216
29.2969,3,0.551,1.0175
29.2969,4,0.5437,0.8809
29.2969,5,0.093,0.3231
29.2969,6,0.575,1.2395
29.2969,7,0.5561,0.9985
29.2969,8,0.5202,0.8765
29.2969,9,0.0903,0.3894
29.2969,10,0.0928,0.3445
29.2969,11,0.5427,1.143
29.2969,12,0.5054,0.8969
29.2969,13,0.095,0.3069
29.2969,14,0.3725,2.5147
29.2969,15,0.5375,0.9208
31.25,0,0.1111,0.2261
31.25,1,0.0821,0.5131
31.25,2,0.5743,1.4248
31.25,3,0.5639,1.1323
31.25,4,0.5122,0.9597
31.25,5,0.0902,0.4074
31.25,6,0.5812,1.3475
31.25,7,0.5546,1.1254
31.25,8,0.5067,0.9161
31.25,9,0.0933,0.4258
31.25,10,0.0958,0.394
31.25,11,0.1073,0.2348
31.25,12,0.1138,0.1979
31.25,13,0.0959,0.3598
31.25,14,0.099,0.3335
31.25,15,0.5256,1.0243
33.2031,0,0.1279,0.2493
33.2031,1,0.1013,0.7535
33.2031,2,0.4468,1.2613
33.2031,3,0.4814,1.1594
33.2031,4,0.4362,0.9249
33.2031,5,0.1453,0.607
33.2031,6,0.1183,0.2297
33.2031,7,0.1188,0.2171
33.2031,8,0.4684,0.9334
33.2031,9,0.1254,0.4184
33.2031,10,0.1205,0.3997
33.2031,11,0.1206,0.264
33.2031,12,0.4465,1.0924
33.2031,13,0.1145,0.3426
33.2031,14,0.3323,2.4698
33.2031,15,0.462,1.0502
35.1562,0,0.1474,0.2912
35.1562,1,0.1466,0.4766
35.1562,2,0.3161,1.0764
35.1562,3,0.3511,1.0997
35.1562,4,0.3638,1.0129
35.1562,5,0.4312,2.4045
35.1562,6,0.358,1.1423
35.1562,7,0.1417,0.2678
35.1562,8,0.3966,0.9598
35.1562,9,0.152,0.4074
35.1562,10,0.1486,0.3734
35.1562,11,0.1472,0.3055
35.1562,12,0.5137,2.2622
35.1562,13,0.1502,0.332
35.1562,14,0.3669,1.4137
35.1562,15,0.1429,0.2557
37.1094,0,0.2843,1.2139
37.1094,1,0.1507,0.5234
37.1094,2,0.1473,0.2964
37.1094,3,0.3046,1.0346
37.1094,4,0.2658,3.0442
37.1094,5,0.1559,0.3979
37.1094,6,0.3037,1.1539
37.1094,7,0.1491,0.3052
37.1094,8,0.3736,1.026
37.1094,9,0.1544,0.4069
37.1094,10,0.153,0.3732
37.1094,11,0.1563,0.3457
37.1094,12,0.3083,1.0137
37.1094,13,0.1579,0.3588
37.1094,14,0.1509,0.3457
37.1094,15,0.1467,0.276
39.0625,0,0.2537,1.155
39.0625,1,0.1495,0.5561
39.0625,2,0.1525,0.3002
39.0625,3,0.1498,0.2835
39.0625,4,0.3019,0.9673
39.0625,5,0.155,0.3967
39.0625,6,0.2829,1.0041
39.0625,7,0.1529,0.3056
39.0625,8,0.3519,1.0254
39.0625,9,0.1568,0.4015
39.0625,10,0.2538,1.7444
39.0625,11,0.1544,0.3551
39.0625,12,0.1484,0.2834
39.0625,13,0.3202,1.9256
39.0625,14,0.2929,1.3894
39.0625,15,0.2874,0.961
41.0156,0,0.1536,0.3713
41.0156,1,0.1502,0.5051
41.0156,2,0.2303,1.1599
41.0156,3,0.1557,0.3163
41.0156,4,0.1519,0.3064
41.0156,5,0.154,0.3778
41.0156,6,0.2441,0.9024
41.0156,7,0.2169,0.9058
41.0156,8,0.0217,4.6235
41.0156,9,0.1404,0.4473
41.0156,10,0.1489,0.431
41.0156,11,0.2006,1.0983
41.0156,12,0.2518,1.0336
41.0156,13,0.1573,0.3553
41.0156,14,0.1547,0.3017
41.0156,15,0.251,0.9829
42.9688,0,0.1524,1.1347
42.9688,1,0.1299,0.5962
42.9688,2,0.1504,0.3686
42.9688,3,0.1905,0.9289
42.9688,4,0.1528,0.3417
42.9688,5,0.1345,0.5047
42.9688,6,0.1981,0.9705
42.9688,7,0.1685,0.8674
42.9688,8,0.2808,1.047
42.9688,9,0.1336,0.4888
42.9688,10,0.1381,0.4909
42.9688,11,0.1363,0.4494
42.9688,12,0.2012,0.9598
42.9688,13,0.2286,1.1581
42.9688,14,0.142,0.4194
42.9688,15,0.2149,1.1045
44.9219,0,0.1455,0.924
44.9219,1,0.1258,0.5867
44.9219,2,0.2708,2.2544
44.9219,3,0.2001,1.2163
44.9219,4,0.2079,1.0143
44.9219,5,0.1411,0.445
44.9219,6,0.1935,1.0581
44.9219,7,0.2249,0.6241
44.9219,8,0.4053,2.4688
44.9219,9,0.1218,0.5344
44.9219,10,0.1312,0.5181
44.9219,11,0.1383,0.4613
44.9219,12,0.1522,0.3402
44.9219,13,0.1373,0.4595
44.9219,14,0.1806,1.0168
44.9219,15,0.1527,0.3376
46.875,0,0.1347,0.4567
46.875,1,0.1207,0.5221
46.875,2,0.1507,0.3762
46.875,3,0.2078,1.0614
46.875,4,0.2145,1.0616
46.875,5,0.2298,1.8395
46.875,6,0.2654,1.2538
46.875,7,0.1484,0.3754
46.875,8,0.2886,0.9888
46.875,9,0.1112,0.5969
46.875,10,0.1299,0.4861
46.875,11,0.1985,1.3415
46.875,12,0.2266,0.9575
46.875,13,0.1454,0.3911
46.875,14,0.4091,2.4366
46.875,15,0.2198,0.8352
48.8281,0,0.1273,0.4817
48.8281,1,0.1855,0.9676
48.8281,2,0.1483,0.3894
48.8281,3,0.203,0.9528
48.8281,4,0.2081,0.9816
48.8281,5,0.4217,5.7548
48.8281,6,0.3173,1.379
48.8281,7,0.2154,1.5763
48.8281,8,0.3039,1.0075
48.8281,9,0.1274,0.4906
48.8281,10,0.3523,0.9313
48.8281,11,0.2743,2.7003
48.8281,12,0.2617,1.4347
48.8281,13,0.2292,2.5272
48.8281,14,0.5057,3.3063
48.8281,15,0.4493,2.1702
50.7812,0,0.122,0.5063
50.7812,1,0.1066,0.6061
50.7812,2,0.1251,2.3366
50.7812,3,0.1911,1.073
50.7812,4,0.1899,2.8736
50.7812,5,0.3267,3.9945
50.7812,6,0.7847,2.7646
50.7812,7,0.2063,1.6372
50.7812,8,0.2872,0.9377
50.7812,9,0.1308,0.486
50.7812,10,0.1653,1.3915
50.7812,11,0.2705,2.9951
50.7812,12,0.2446,1.5403
50.7812,13,0.221,2.6995
50.7812,14,0.5407,3.7683
50.7812,15,0.235,1.1276
52.7344,0,0.123,0.5031
52.7344,1,0.1052,0.6105
52.7344,2,0.1488,0.3838
52.7344,3,0.1749,0.9136
52.7344,4,0.191,0.9399
52.7344,5,1.2166,5.9909
52.7344,6,0.2852,1.1891
52.7344,7,0.1452,4.1757
52.7344,8,0.28,1.0158
52.7344,9,0.1227,0.5353
52.7344,10,0.1381,0.4383
52.7344,11,0.1816,1.4133
52.7344,12,0.2055,0.993
52.7344,13,0.1578,1.2194
52.7344,14,0.4019,2.5754
52.7344,15,0.2157,0.9302
54.6875,0,0.2339,1.2892
54.6875,1,0.6416,1.6395
54.6875,2,0.1935,1.1168
54.6875,3,0.146,0.3773
54.6875,4,0.2398,5.3903
54.6875,5,0.1573,0.8068
54.6875,6,0.2162,0.9508
54.6875,7,0.1426,0.4167
54.6875,8,0.4152,1.6941
54.6875,9,0.1347,2.0674
54.6875,10,0.1353,0.4798
54.6875,11,0.1388,0.4653
54.6875,12,0.1646,2.8008
54.6875,13,0.1322,0.486
54.6875,14,0.2075,1.0903
54.6875,15,0.1515,0.3379
56.6406,0,0.1252,0.5199
56.6406,1,0.1112,0.6574
56.6406,2,0.149,0.3551
56.6406,3,0.1726,0.9893
56.6406,4,0.1509,0.3515
56.6406,5,0.9015,1.6468
56.6406,6,0.1776,1.0231
56.6406,7,0.1387,0.45
56.6406,8,0.1513,0.307
56.6406,9,0.1215,0.5733
56.6406,10,0.1235,0.5367
56.6406,11,0.1298,0.4912
56.6406,12,0.1467,0.4002
56.6406,13,0.1229,0.5346
56.6406,14,0.1302,0.5049
56.6406,15,0.1507,0.3465
58.5938,0,0.134,0.4649
58.5938,1,0.117,0.6221
58.5938,2,0.1879,1.0331
58.5938,3,0.1852,1.0011
58.5938,4,0.1529,0.3611
58.5938,5,0.1315,0.474
58.5938,6,0.1907,2.8803
58.5938,7,0.1902,0.718
58.5938,8,0.2625,1.057
58.5938,9,0.1172,0.5722
58.5938,10,0.1296,0.5097
58.5938,11,0.1345,0.4486
58.5938,12,0.1868,1.0283
58.5938,13,0.1263,0.5197
58.5938,14,0.2409,3.8682
58.5938,15,0.1515,0.324
60.5469,0,0.1587,1.0146
60.5469,1,0.1372,0.5532
60.5469,2,0.2048,0.9701
60.5469,3,0.21,1.1028
60.5469,4,0.1024,6.0654
60.5469,5,0.1471,0.4243
60.5469,6,0.2247,0.9776
60.5469,7,0.1832,1.0052
60.5469,8,0.2754,0.885
60.5469,9,0.0878,1.1986
60.5469,10,0.1413,0.4461
60.5469,11,0.146,0.3867
60.5469,12,0.2035,0.9382
60.5469,13,0.1409,0.4468
60.5469,14,0.1866,1.1725
60.5469,15,0.6889,2.6133
62.5,0,0.1478,0.397
62.5,1,0.1436,0.5574
62.5,2,0.1535,0.3301
62.5,3,0.2184,1.0065
62.5,4,0.2317,1.0331
62.5,5,0.1459,0.437
62.5,6,0.2221,0.9912
62.5,7,0.1894,0.9566
62.5,8,0.2805,0.8949
62.5,9,0.1434,0.4493
62.5,10,0.1426,0.4479
62.5,11,0.1736,0.9999
62.5,12,0.1507,0.347
62.5,13,0.1562,0.9775
62.5,14,0.1492,0.4287
62.5,15,0.2622,0.9557
