freqs,channel,p1,chi2
0.0,0,0.0896,210.3374
0.0,1,0.1003,217.8006
0.0,2,0.1497,181.3607
0.0,3,0.1625,197.7995
0.0,4,0.1296,222.9808
0.0,5,0.0398,208.9129
0.0,6,0.0701,207.5467
0.0,7,0.0857,216.3607
0.0,8,0.1255,257.7519
0.0,9,0.0401,221.9368
0.0,10,0.0436,218.579
0.0,11,0.0626,226.8483
0.0,12,0.1028,234.4136
0.0,13,0.0358,202.5438
0.0,14,0.0399,214.5319
0.0,15,0.0863,585.114
1.9531,0,0.1545,6.0821
1.9531,1,0.1281,15.3869
1.9531,2,0.1778,1.2389
1.9531,3,0.2052,2.4722
1.9531,4,0.2035,4.188
1.9531,5,0.1168,40.9388
1.9531,6,0.1583,22.8177
1.9531,7,0.2001,25.3782
1.9531,8,0.1746,6.7896
1.9531,9,0.076,44.3229
1.9531,10,0.0796,14.3047
1.9531,11,0.1253,34.9402
1.9531,12,0.1469,2.5178
1.9531,13,0.0844,54.1753
1.9531,14,0.0831,24.6839
1.9531,15,0.1623,111.358
3.9062,0,0.2294,10.712
3.9062,1,0.1689,52.4279
3.9062,2,0.2243,13.8954
3.9062,3,0.2621,21.6052
3.9062,4,0.2928,9.2886
3.9062,5,0.1832,38.4609
3.9062,6,0.2448,21.1286
3.9062,7,0.3097,23.0206
3.9062,8,0.2486,13.7661
3.9062,9,0.1196,93.2754
3.9062,10,0.1236,36.5475
3.9062,11,0.2026,61.0323
3.9062,12,0.2131,8.3096
3.9062,13,0.1393,73.4959
3.9062,14,0.1336,40.0442
3.9062,15,0.2552,98.5228
5.8594,0,0.2605,1.2288
5.8594,1,0.1872,38.896
5.8594,2,0.2494,3.8124
5.8594,3,0.2799,12.0443
5.8594,4,0.3286,1.4491
5.8594,5,0.1971,22.5275
5.8594,6,0.2701,4.1349
5.8594,7,0.3388,3.1009
5.8594,8,0.2933,5.4056
5.8594,9,0.1411,60.7974
5.8594,10,0.1453,16.4125
5.8594,11,0.2459,34.4566
5.8594,12,0.2581,2.5679
5.8594,13,0.1681,39.8509
5.8594,14,0.1593,14.3133
5.8594,15,0.3036,57.5007
7.8125,0,0.2712,1.5429
7.8125,1,0.1817,33.524
7.8125,2,0.2485,4.9498
7.8125,3,0.2717,9.4038
7.8125,4,0.3356,1.6641
7.8125,5,0.1827,26.2453
7.8125,6,0.2595,5.3684
7.8125,7,0.3209,3.2643
7.8125,8,0.304,1.9383
7.8125,9,0.142,34.516
7.8125,10,0.1462,8.4261
7.8125,11,0.2516,26.6215
7.8125,12,0.2783,1.2063
7.8125,13,0.1718,22.1463
