freqs,channel,p1,chi2
19.5312,8,0.2487,9.0092
19.5312,9,0.1288,4.7633
19.5312,10,0.1609,2.1261
19.5312,11,6.1375,100.8544
19.5312,12,0.2325,17.8287
19.5312,13,0.1374,2.6962
19.5312,14,0.1351,2.5876
19.5312,15,5.8834,117.3692
21.4844,0,0.3645,3.8321
21.4844,1,0.2559,126.0248
21.4844,2,0.2238,1.2037
21.4844,3,6.8198,157.7594
21.4844,4,0.3251,6.5449
21.4844,5,0.1839,3.5828
21.4844,6,0.1418,21.1272
21.4844,7,6.407,117.2204
21.4844,8,0.2694,17.4359
21.4844,9,0.1582,4.9935
21.4844,10,0.1717,1.3182
21.4844,11,6.3888,110.1643
21.4844,12,0.2508,25.1458
21.4844,13,0.1598,2.4279
21.4844,14,0.1466,2.0513
21.4844,15,6.3125,135.8613
23.4375,0,0.3776,37.7813
23.4375,1,0.2846,50.1894
23.4375,2,0.2162,4.3566
23.4375,3,6.9193,163.1895
23.4375,4,0.348,39.6958
23.4375,5,0.1955,4.2183
23.4375,6,0.1565,29.1707
23.4375,7,6.8535,137.2636
23.4375,8,0.2835,47.8647
23.4375,9,0.1857,6.9744
23.4375,10,0.1805,1.0606
23.4375,11,6.7576,128.6737
23.4375,12,0.2647,58.8108
23.4375,13,0.1802,4.4463
23.4375,14,0.1579,1.808
23.4375,15,6.744,144.6997
25.3906,0,0.3675,55.7081
25.3906,1,0.2786,16.7323
25.3906,2,0.2122,1.4716
25.3906,3,6.6728,170.1324
25.3906,4,0.3426,67.465
25.3906,5,0.1967,7.6116
25.3906,6,0.1567,7.8259
25.3906,7,6.8444,129.6707
25.3906,8,0.2774,56.2554
25.3906,9,0.1999,4.6069
25.3906,10,0.1801,1.2406
25.3906,11,6.7818,126.1128
25.3906,12,0.2591,64.307
25.3906,13,0.1851,5.0231
25.3906,14,0.1603,1.2172
25.3906,15,6.8455,137.4988
27.3438,0,0.3277,15.0803
27.3438,1,0.2371,20.3864
27.3438,2,0.2003,1.0651
27.3438,3,6.111,131.5137
27.3438,4,0.302,23.5934
27.3438,5,0.1862,7.8876
27.3438,6,0.1421,12.3673
27.3438,7,6.4756,129.4945
27.3438,8,0.2512,28.998
27.3438,9,0.1939,7.4717
27.3438,10,0.1705,1.4255
27.3438,11,6.4156,121.8918
27.3438,12,0.2354,31.9455
27.3438,13,0.1713,3.3319
27.3438,14,0.1512,1.0548
27.3438,15,6.5728,127.2117
29.2969,0,0.2733,3.6047
29.2969,1,0.1788,4.6165
29.2969,2,0.1786,1.3783
29.2969,3,5.3841,95.1404
29.2969,4,0.2476,3.0585
29.2969,5,0.1683,5.4364
29.2969,6,0.119,6.6753
29.2969,7,5.8816,117.4873
29.2969,8,0.2166,8.7706
29.2969,9,0.1645,4.9548
29.2969,10,0.1569,1.6161
29.2969,11,6.0056,115.3694
29.2969,12,0.2067,14.0925
29.2969,13,0.1451,1.5398
29.2969,14,0.1352,1.2474
29.2969,15,6.0496,113.9822
31.25,0,0.2353,4.0183
31.25,1,0.1389,0.9044
31.25,2,0.1668,1.6708
31.25,3,4.8577,109.706
31.25,4,0.2095,4.3483
31.25,5,0.1521,1.5921
31.25,6,0.099,2.3948
31.25,7,5.326,90.5345
31.25,8,0.1881,4.8845
31.25,9,0.1191,1.1259
31.25,10,0.1456,1.6802
31.25,11,5.5965,103.995
31.25,12,0.1855,14.2726
31.25,13,0.1203,1.4564
31.25,14,0.1208,1.3496
31.25,15,5.5552,102.9449
33.2031,0,0.2203,3.1358
33.2031,1,0.1344,1.2613
33.2031,2,0.17,1.6346
33.2031,3,4.5744,92.1512
33.2031,4,0.1944,2.8462
33.2031,5,0.1462,0.9957
33.2031,6,0.0908,1.9973
33.2031,7,4.9166,76.6988
33.2031,8,0.1716,6.5573
33.2031,9,0.0879,2.5162
33.2031,10,0.14,1.9103
33.2031,11,5.3392,104.3154
33.2031,12,0.1733,18.2369
33.2031,13,0.1097,2.6241
33.2031,14,0.1142,2.2868
33.2031,15,5.2209,102.7695
35.1562,0,0.2064,3.7536
35.1562,1,0.1366,0.8595
35.1562,2,0.1686,1.7483
35.1562,3,4.6862,81.988
35.1562,4,0.1859,3.1983
35.1562,5,0.1483,0.9998
35.1562,6,0.0885,1.2533
35.1562,7,4.9636,80.2305
35.1562,8,0.1615,5.372
35.1562,9,0.1064,3.6152
35.1562,10,0.1408,3.0839
35.1562,11,5.0633,97.2711
35.1562,12,0.1627,17.1965
35.1562,13,0.1122,2.2681
35.1562,14,0.1143,1.7253
35.1562,15,4.8633,92.4031
37.1094,0,0.1876,3.4703
37.1094,1,0.1284,1.159
37.1094,2,0.1621,1.7748
37.1094,3,4.743,90.8451
37.1094,4,0.1725,2.8902
37.1094,5,0.1484,2.1539
37.1094,6,0.0846,1.5306
37.1094,7,5.0874,89.8109
37.1094,8,0.1529,5.0781
37.1094,9,0.1309,19.2689
37.1094,10,0.1436,3.5425
37.1094,11,4.6813,78.7744
37.1094,12,0.1516,16.7042
37.1094,13,0.116,1.7561
37.1094,14,0.1159,1.7343
37.1094,15,4.9787,119.043
39.0625,0,0.1776,3.2559
39.0625,1,0.121,1.7534
39.0625,2,0.1631,1.7262
39.0625,3,4.6458,98.7496
39.0625,4,0.1595,2.9035
39.0625,5,0.1427,1.4456
39.0625,6,0.0822,1.3891
39.0625,7,5.1569,96.7407
39.0625,8,0.1437,2.8492
39.0625,9,0.1234,13.2723
39.0625,10,0.1437,2.6466
39.0625,11,4.7345,89.2806
39.0625,12,0.1414,16.2952
39.0625,13,0.1143,1.3636
39.0625,14,0.1152,1.3391
39.0625,15,5.0524,119.9199
41.0156,0,0.173,2.3937
41.0156,1,0.1215,1.632
41.0156,2,0.163,1.3418
41.0156,3,4.3092,75.2529
41.0156,4,0.151,2.141
41.0156,5,0.1377,1.0137
41.0156,6,0.084,0.8279
